"","Tm","Player","Age","Pos","Born","College","From","To","G","MP","PTS","TRB","AST","STL","BLK","FG%","2P%","3P%","FT%","WS","WS/48","Draft.Year","Pick.Number"
"1","NOH","Chris Paul\paulch01",20.058,"G","us","Wake Forest University",2006,2018,848,35.5,18.7,4.4,9.9,2.3,0.1,0.473,0.504,0.372,0.866,4.05050698377154,0.251,2005,4
"2","CLE","LeBron James\jamesle01",18.182,"F-G","us",NA,2004,2018,1091,38.9,27.2,7.3,7.1,1.6,0.8,0.503,0.545,0.344,0.74,5.73526115658573,0.24,2003,1
"3","IND","Kawhi Leonard\leonaka01",19.364,"F","us","San Diego State University",2012,2018,400,30.5,16.3,6.2,2.3,1.8,0.7,0.495,0.537,0.388,0.847,0.897389082357814,0.219,2011,15
"4","SEA","Kevin Durant\duranke01",18.276,"F-G","us","University of Texas at Austin",2008,2018,727,37.3,27.2,7.2,3.8,1.2,1.1,0.489,0.526,0.381,0.882,2.99019380711967,0.218,2007,2
"5","OKC","James Harden\hardeja01",19.308,"G","us","Arizona State University",2010,2018,643,33.7,22.5,5,5.9,1.5,0.4,0.443,0.5,0.366,0.854,2.20500562382645,0.217,2009,3
"6","SAS","Tim Duncan\duncati01",21.066,"F-C","vi","Wake Forest University",1998,2016,1392,34,19,10.8,3,0.7,2.2,0.506,0.509,0.179,0.696,5.55905750915379,0.209,1997,1
"7","ORL","Shaquille O'Neal\onealsh01",20.115,"C","us","Louisiana State University",1993,2011,1207,34.7,23.7,10.9,2.5,0.6,2.3,0.582,0.583,0.045,0.527,4.79550837028203,0.208,1992,1
"8","GSW","Stephen Curry\curryst01",21.108,"G","us","Davidson College",2010,2018,597,34.6,22.9,4.4,6.8,1.8,0.2,0.476,0.51,0.435,0.903,1.91751546222696,0.206,2009,7
"9","NOH","Anthony Davis\davisan02",19.114,"F-C","us","University of Kentucky",2013,2018,360,34.5,22.6,10.2,1.8,1.3,2.3,0.517,0.529,0.298,0.787,0.820106780852576,0.205,2012,1
"10","HOU","Yao Ming\mingya01",21.292,"C","cn",NA,2003,2011,486,32.5,19,9.2,1.6,0.4,1.9,0.524,0.525,0.2,0.833,1.2157921645594,0.2,2002,1
"11","DEN","Rudy Gobert\goberru01",21.006,"C","fr",NA,2014,2018,287,27.2,9.4,9.8,1.1,0.6,2.2,0.61,0.612,0,0.619,0.180209324389203,0.199,2013,27
"12","MIL","Dirk Nowitzki\nowitdi01",20.01,"F","de",NA,1999,2018,1424,34.7,21.5,7.8,2.5,0.8,0.9,0.473,0.496,0.382,0.879,5.45395357910666,0.197,1998,9
"13","BOS","Jayson Tatum\tatumja01",19.116,"F","us","Duke University",2018,2018,32,30.5,13.8,5.7,1.3,0.9,0.8,0.502,0.497,0.51,0.832,-0.700808912770514,0.194,2017,3
"14","MIA","Bam Adebayo\adebaba01",19.344,"C-F","us","University of Kentucky",2018,2018,20,17.6,6.3,4.2,0.6,0.7,0.6,0.613,0.613,NA,0.75,-0.781182506335962,0.184,2017,14
"15","MIN","Kevin Garnett\garneke01",19.044,"F-C","us",NA,1996,2016,1462,34.5,17.8,10,3.7,1.3,1.4,0.497,0.504,0.275,0.789,5.09536370012236,0.182,1995,5
"16","CHA","Brandan Wright\wrighbr03",19.271,"F-C","us","University of North Carolina",2008,2018,416,16.3,7,3.7,0.5,0.5,1,0.607,0.61,0,0.675,-0.0238159515846265,0.182,2007,8
"17","MEM","Kevin Love\loveke01",19.297,"F","us","University of California Los Angeles",2009,2018,605,32.4,18.4,11.4,2.4,0.7,0.5,0.444,0.479,0.366,0.822,1.47855198967721,0.182,2008,5
"18","CHI","Jimmy Butler\butleji01",21.287,"F-G","us","Marquette University",2012,2018,427,32.6,15.8,4.9,3.2,1.5,0.4,0.448,0.48,0.338,0.83,0.801559028491318,0.181,2011,30
"19","HOU","Clint Capela\capelca01",20.044,"C","ch",NA,2015,2018,181,20.9,9.7,7.5,0.8,0.6,1.3,0.628,0.629,0,0.459,-0.379314538508723,0.181,2014,25
"20","MIN","Karl-Anthony Towns\townska01",19.227,"C-F","us","University of Kentucky",2016,2018,194,34.7,21.6,11.4,2.3,0.7,1.5,0.54,0.572,0.364,0.825,-0.0392724118856741,0.181,2015,1
"21","LAC","Blake Griffin\griffbl01",20.106,"F","us","University of Oklahoma",2011,2018,490,35.2,21.6,9.3,4.2,1,0.6,0.513,0.524,0.315,0.678,1.16324019953583,0.179,2009,1
"22","SAS","Tiago Splitter\splitti01",22.183,"F-C","br",NA,2011,2017,355,19.2,7.9,5,1.2,0.6,0.6,0.555,0.558,0.143,0.697,-0.0392724118856741,0.178,2007,28
"23","BOS","Chauncey Billups\billuch01",20.278,"G","us","University of Colorado",1998,2014,1043,31.6,15.2,2.9,5.4,1,0.2,0.415,0.435,0.387,0.894,2.91291150561443,0.176,1997,3
"24","POR","Greg Oden\odengr01",19.162,"C","us","Ohio State University",2009,2014,105,19.3,8,6.2,0.5,0.4,1.2,0.574,0.574,NA,0.658,-0.59570498272339,0.174,2007,1
"25","ORL","Dwight Howard\howardw01",18.203,"C","us",NA,2005,2018,983,34.8,17.4,12.7,1.5,1,2,0.584,0.586,0.088,0.565,2.98091993093904,0.173,2004,1
"26","MIA","Dwyane Wade\wadedw01",21.165,"G","us","Marquette University",2004,2018,943,35,22.9,4.8,5.6,1.6,0.9,0.484,0.504,0.288,0.767,2.82944661998877,0.172,2003,5
"27","TOR","Jonas Valanciunas\valanjo01",19.052,"C","lt",NA,2013,2018,386,25.8,11.4,8.4,0.7,0.4,1,0.557,0.558,0.385,0.785,0.276039378255698,0.171,2011,5
"28","CHH","Kobe Bryant\bryanko01",17.312,"G-F","us",NA,1997,2016,1346,36.1,25,5.2,4.7,1.4,0.5,0.447,0.479,0.329,0.837,4.51729208486317,0.17,1996,13
"29","ATL","Pau Gasol\gasolpa01",20.361,"F-C","es",NA,2002,2018,1148,34.4,17.7,9.4,3.2,0.5,1.6,0.509,0.513,0.374,0.754,3.49098312087361,0.169,2001,3
"30","PHO","Amar'e Stoudemire\stoudam01",19.227,"F-C","us",NA,2003,2016,846,31,18.9,7.8,1.2,0.8,1.2,0.537,0.54,0.236,0.761,2.03807585257513,0.169,2002,9
"31","LAL","Andrew Bynum\bynuman01",17.249,"C","us",NA,2006,2014,418,25.6,11.5,7.7,1.2,0.3,1.6,0.556,0.557,0.111,0.69,0.334773927399679,0.168,2005,10
"32","CHH","Alonzo Mourning\mournal01",22.142,"C","us","Georgetown University",1993,2008,838,31,17.1,8.5,1.1,0.5,2.8,0.527,0.53,0.247,0.692,1.95151967488926,0.166,1992,2
"33","SEA","Russell Westbrook\westbru01",19.231,"G","us","University of California Los Angeles",2009,2018,697,34.2,22.7,6.4,8,1.7,0.3,0.431,0.459,0.312,0.817,1.73203793861439,0.166,2008,4
"34","PHO","Steve Nash\nashst01",22.145,"G","za","Santa Clara University",1997,2014,1217,31.3,14.3,3,8.5,0.7,0.1,0.49,0.518,0.428,0.904,3.18803649897308,0.164,1996,15
"35","BOS","Guerschon Yabusele\yabusgu01",20.194,"F","fr",NA,2018,2018,11,4.7,1.8,1.5,0.4,0,0.1,0.412,0.5,0.364,1,-0.815186718998267,0.164,2016,16
"36","ATL","John Collins\collijo01",19.277,"F","us","Wake Forest University",2018,2018,23,23,11.3,7.1,1,0.7,1,0.597,0.6,0,0.74,-0.765726046034914,0.162,2017,19
"37","CHI","Joakim Noah\noahjo01",22.128,"C","us","University of Florida",2008,2018,620,28.8,9,9.3,2.9,0.8,1.4,0.49,0.492,0,0.699,1.02104076476619,0.16,2007,9
"38","BOS","Lucas Nogueira\noguelu01",20.341,"C","br",NA,2015,2018,109,14.1,3.6,3.2,0.5,0.7,1.1,0.631,0.67,0.28,0.642,-0.663713408048,0.16,2013,16
"39","TOR","Chris Bosh\boshch01",19.098,"F-C","us","Georgia Institute of Technology",2004,2016,893,35.8,19.2,8.5,2,0.8,1,0.494,0.506,0.335,0.799,2.45540028070342,0.159,2003,4
"40","ATL","Al Horford\horfoal01",21.03,"C-F","do","University of Florida",2008,2018,675,33.3,14.3,8.6,3.1,0.8,1.2,0.529,0.545,0.357,0.749,1.48164328173742,0.159,2007,3
"41","TOR","Jakob Poeltl\poeltja01",20.257,"C","at","University of Utah",2017,2018,81,13.3,4.4,3.5,0.3,0.3,0.6,0.636,0.637,0.5,0.526,-0.710082788951142,0.159,2016,9
"42","LAC","Tyson Chandler\chandty01",18.273,"C","us",NA,2002,2018,1055,28.4,8.7,9.4,0.8,0.6,1.2,0.595,0.596,0,0.647,2.21737079206728,0.158,2001,2
"43","DEN","Kenneth Faried\farieke01",21.221,"F","us","Morehead State University",2012,2018,434,25.2,11.6,8.3,1,0.8,0.8,0.545,0.547,0.1,0.655,0.288404546496536,0.158,2011,22
"44","BOS","Paul Pierce\piercpa01",20.259,"F-G","us","University of Kansas",1999,2017,1343,34.2,19.7,5.6,3.5,1.3,0.6,0.445,0.478,0.368,0.806,3.81556878719561,0.157,1998,10
"45","POR","Damian Lillard\lillada01",21.354,"G","us","Weber State University",2013,2018,425,36.4,22.7,4.1,6.2,0.9,0.3,0.43,0.472,0.368,0.881,0.730459311106499,0.156,2012,6
"46","MIN","Brandon Roy\roybr01",21.345,"G","us","University of Washington",2007,2013,326,35.5,18.8,4.3,4.7,1,0.2,0.459,0.485,0.348,0.8,0.334773927399679,0.155,2006,6
"47","MEM","Kyle Lowry\lowryky01",20.1,"G","us","Villanova University",2007,2018,740,31,14.3,4.2,5.8,1.4,0.3,0.425,0.466,0.366,0.801,1.44763906907511,0.154,2006,24
"48","CLE","Kyrie Irving\irvinky01",19.096,"G","au","Duke University",2012,2018,411,34,21.8,3.4,5.5,1.3,0.3,0.459,0.49,0.384,0.874,0.569712123975604,0.154,2011,1
"49","DET","Andre Drummond\drumman01",18.327,"C","us","University of Connecticut",2013,2018,414,29.9,13.3,13,0.9,1.3,1.5,0.547,0.549,0.238,0.4,0.412056228904917,0.154,2012,9
"50","DEN","Dikembe Mutombo\mutomdi01",25.007,"C","cd","Georgetown University",1992,2009,1196,30.8,9.8,10.3,1,0.4,2.8,0.518,0.518,0,0.684,2.79544240732647,0.153,1991,4
"51","PHO","Mario Bennett\bennema01",21.336,"F","us","Arizona State University",1996,2000,68,8.9,4,2.7,0.4,0.5,0.3,0.534,0.537,0.333,0.511,-0.762634753974705,0.153,1995,27
"52","DET","Scot Pollard\pollasc01",22.139,"C","us","University of Kansas",1998,2008,506,16.5,4.4,4.6,0.4,0.6,0.7,0.494,0.494,0,0.709,0.000914384897049799,0.153,1997,19
"53","CHI","LaMarcus Aldridge\aldrila01",20.349,"F-C","us","University of Texas at Austin",2007,2018,823,34.7,19.2,8.3,1.9,0.8,1,0.487,0.492,0.296,0.805,1.99170647167199,0.153,2006,2
"54","TOR","Tracy McGrady\mcgratr01",18.037,"F-G","us",NA,1998,2012,938,32.7,19.6,5.6,4.4,1.2,0.9,0.435,0.461,0.338,0.746,2.18645787146519,0.152,1997,9
"55","CHI","Elton Brand\brandel01",20.116,"F","us","Duke University",2000,2016,1058,33,15.9,8.5,2.1,0.9,1.7,0.5,0.501,0.095,0.736,2.56668679487096,0.151,1999,1
"56","UTA","Andrei Kirilenko\kirilan01",18.136,"F","ru",NA,2002,2015,797,30,11.8,5.5,2.7,1.4,1.8,0.474,0.51,0.31,0.754,1.5094649102793,0.151,1999,24
"57","MIN","Ray Allen\allenra02",20.347,"G","us","University of Connecticut",1997,2014,1300,35.6,18.9,4.1,3.4,1.1,0.2,0.452,0.485,0.4,0.894,3.66409547624534,0.15,1996,5
"58","PHO","Shawn Marion\mariosh01",21.059,"F","us","University of Nevada Las Vegas",2000,2015,1163,34.5,15.2,8.7,1.9,1.5,1.1,0.484,0.513,0.331,0.81,3.03965448008302,0.15,1999,9
"59","NYK","David Lee\leeda02",22.066,"F","us","University of Florida",2006,2017,829,29.3,13.5,8.8,2.2,0.8,0.4,0.535,0.537,0.034,0.772,1.52801266264056,0.15,2005,30
"60","SEA","Gary Payton\paytoga01",21.344,"G","us","Oregon State University",1991,2007,1335,35.3,16.3,3.9,6.7,1.8,0.2,0.466,0.501,0.317,0.729,3.67646064448618,0.148,1990,2
"61","CLE","Terrell Brandon\brandte01",21.042,"G","us","University of Oregon",1992,2002,724,29.8,13.8,3,6.1,1.6,0.3,0.448,0.462,0.355,0.873,1.2157921645594,0.147,1991,11
"62","LAL","Eddie Jones\jonesed02",22.258,"G-F","us","Temple University",1995,2008,954,34.4,14.8,4,2.9,1.7,0.6,0.437,0.474,0.373,0.809,2.2884705094521,0.147,1994,10
"63","SAC","Peja Stojakovic\stojape01",19.022,"F-G","hr",NA,1999,2011,804,33.5,17,4.7,1.8,0.9,0.1,0.45,0.484,0.401,0.895,1.73203793861439,0.147,1996,14
"64","SAS","George Hill\hillge01",22.059,"G","us","Indiana University-Purdue University Indianapolis",2009,2018,624,28.8,11.7,3.2,3.3,0.9,0.3,0.453,0.492,0.383,0.801,0.875750037936347,0.146,2008,26
"65","TOR","Ed Davis\davised01",21.024,"F","us","University of North Carolina",2011,2018,510,20.7,6.7,6.4,0.8,0.5,0.9,0.56,0.56,0,0.573,0.167844156148364,0.146,2010,13
"66","GSW","Jeff Foster\fosteje01",22.17,"F-C","us","Texas State University",2000,2012,764,20.6,4.9,6.9,0.9,0.7,0.4,0.497,0.504,0.13,0.615,0.646994425480842,0.145,1999,21
"67","SAS","Tony Parker\parketo01",19.046,"G","be",NA,2002,2018,1151,31.6,16.1,2.8,5.8,0.9,0.1,0.493,0.512,0.327,0.752,2.55432162663012,0.144,2001,28
"68","SEA","Serge Ibaka\ibakase01",18.286,"F-C","cg",NA,2010,2018,628,29,12.1,7.3,0.6,0.4,2.3,0.516,0.542,0.373,0.754,0.869567453815928,0.144,2008,24
"69","IND","Paul George\georgpa01",20.058,"F","us","California State University Fresno",2011,2018,475,33,18.2,6.3,3.2,1.7,0.4,0.431,0.466,0.373,0.848,0.634629257240004,0.144,2010,10
"70","DEN","Brent Barry\barrybr01",23.185,"G","us","Oregon State University",1996,2009,912,25.9,9.3,3,3.2,1,0.3,0.46,0.525,0.405,0.823,1.35799159932903,0.143,1995,15
"71","DET","Jerome Williams\willije01",23.053,"F","us","Georgetown University",1997,2005,587,21.7,6.6,6.4,0.8,1.1,0.2,0.502,0.506,0.038,0.645,0.350230387700727,0.143,1996,26
"72","NOH","David West\westda01",22.306,"F","us","Xavier University",2004,2018,988,28.8,13.9,6.5,2.2,0.7,0.8,0.494,0.499,0.268,0.817,1.77840731951753,0.142,2003,18
"73","IND","Dale Davis\davisda01",22.098,"F-C","us","Clemson University",1992,2007,1094,27.1,8,7.9,0.9,0.6,1.2,0.53,0.53,0,0.562,1.8649634972034,0.141,1991,13
"74","HOU","Sam Cassell\cassesa01",23.23,"G","us","Florida State University",1994,2008,993,30,15.7,3.2,6,1.1,0.2,0.454,0.477,0.331,0.861,1.88351124956465,0.141,1993,24
"75","NYK","Nene Hilario\hilarne01",19.291,"F-C","br",NA,2003,2018,892,27.2,11.9,6.3,1.9,1.1,0.8,0.549,0.552,0.14,0.662,1.36417418344945,0.14,2002,7
"76","UTA","Enes Kanter\kanteen01",19.038,"C","ch",NA,2012,2018,471,21.5,11.4,6.9,0.6,0.4,0.4,0.534,0.54,0.296,0.774,0.0905618546431262,0.14,2011,3
"77","MIL","Giannis Antetokounmpo\antetgi01",18.208,"F-G","gr",NA,2014,2018,345,32.3,16.1,7.2,3.6,1.2,1.3,0.503,0.536,0.277,0.744,0.180209324389203,0.14,2013,15
"78","PHI","Joel Embiid\embiijo01",20.107,"C-F","cm","University of Kansas",2017,2018,54,27.9,21.9,9.2,2.7,0.8,2.2,0.477,0.514,0.327,0.794,-0.685352452469466,0.14,2014,3
"79","MIA","Steve Smith\smithst01",22.092,"G","us","Michigan State University",1992,2005,942,30.6,14.3,3.2,3.1,0.8,0.3,0.44,0.476,0.358,0.845,1.76604215127669,0.139,1991,5
"80","WSB","Rasheed Wallace\wallara01",20.289,"F-C","us","University of North Carolina",1996,2013,1109,32.7,14.4,6.7,1.8,1,1.3,0.467,0.508,0.336,0.721,2.42757865216153,0.139,1995,4
"81","CLE","Zydrunas Ilgauskas\ilgauzy01",21.027,"C","lt",NA,1998,2011,843,27.2,13,7.3,1.1,0.5,1.6,0.476,0.478,0.31,0.78,1.22815733280023,0.139,1996,20
"82","BRK","Mason Plumlee\plumlma01",23.12,"C-F","us","Duke University",2014,2018,344,22.7,8.8,6.4,2,0.8,0.9,0.56,0.565,0,0.571,-0.122737297511331,0.139,2013,22
"83","DET","Grant Hill\hillgr01",21.272,"F-G","us","Duke University",1995,2013,1026,33.9,16.7,6,4.1,1.2,0.6,0.483,0.493,0.314,0.769,2.26683146503064,0.138,1994,3
"84","NJN","Ryan Anderson\anderry01",20.056,"F","us","University of California",2009,2018,583,26.5,13.1,5.4,0.9,0.5,0.4,0.424,0.47,0.382,0.858,0.548073079554137,0.138,2008,21
"85","CHA","Cody Zeller\zelleco01",20.27,"C-F","us","Indiana University",2014,2018,298,22.8,8,5.6,1.3,0.7,0.8,0.499,0.502,0.214,0.733,-0.218567351377827,0.138,2013,4
"86","GSW","Kevon Looney\looneke01",19.144,"F-C","us","University of California Los Angeles",2016,2018,80,8.5,2.5,2.4,0.5,0.3,0.4,0.528,0.547,0.273,0.558,-0.759543461914495,0.138,2015,30
"87","TOR","Marcus Camby\cambyma01",22.102,"C-F","us","University of Massachusetts Amherst",1997,2013,973,29.5,9.5,9.8,1.9,1,2.4,0.466,0.469,0.205,0.67,1.70112501801229,0.137,1996,2
"88","SAC","Kevin Martin\martike02",21.149,"G","us","Western Carolina University",2005,2016,714,30.2,17.4,3.2,1.9,0.9,0.1,0.437,0.464,0.384,0.87,1.07359272978976,0.137,2004,26
"89","NOH","Cole Aldrich\aldrico01",21.241,"C","us","University of Kansas",2011,2018,324,10.3,3.2,3.4,0.6,0.4,0.7,0.53,0.53,NA,0.746,-0.524605265338571,0.137,2010,11
"90","OKC","Steven Adams\adamsst01",19.347,"C","nz","University of Pittsburgh",2014,2018,336,24.4,8,6.6,0.8,0.7,1,0.576,0.577,0,0.577,-0.101098253089865,0.137,2013,12
"91","DET","Greg Monroe\monrogr01",20.025,"C-F","us","Georgetown University",2011,2018,555,29.4,14,8.7,2.2,1.1,0.6,0.513,0.514,0,0.705,0.606807628698118,0.136,2010,7
"92","IND","Myles Turner\turnemy01",19.097,"C-F","us","University of Texas at Austin",2016,2018,163,28.1,13,6.6,1.1,0.7,1.9,0.504,0.525,0.34,0.784,-0.422592627351656,0.136,2015,11
"93","GSW","Vince Carter\cartevi01",21.154,"G-F","us","University of North Carolina",1999,2018,1365,31.8,18,4.5,3.3,1,0.6,0.437,0.461,0.373,0.799,2.95928088651757,0.135,1998,5
"94","NYK","Danilo Gallinari\gallida01",19.327,"F","it",NA,2009,2018,471,31.1,15.3,4.7,2,0.8,0.4,0.418,0.46,0.367,0.864,0.452243025687641,0.135,2008,6
"95","IND","Tyler Hansbrough\hansbty01",23.24,"F","us","University of North Carolina",2010,2016,428,16.9,6.7,4.2,0.4,0.5,0.2,0.439,0.442,0.136,0.738,-0.19692830695636,0.134,2009,13
"96","WAS","Otto Porter\porteot01",20.029,"F","us","Georgetown University",2014,2018,294,25.6,9.8,4.7,1.2,1.1,0.4,0.483,0.532,0.396,0.778,-0.175289262534894,0.134,2013,3
"97","DAL","Jason Kidd\kiddja01",21.103,"G","us","University of California",1995,2013,1391,36,12.6,6.3,8.7,1.9,0.3,0.4,0.429,0.349,0.785,3.46316149233172,0.133,1994,2
"98","ORL","Chris Webber\webbech01",20.126,"F-C","us","University of Michigan",1994,2008,831,37.1,20.7,9.8,4.2,1.4,1.4,0.479,0.49,0.299,0.649,1.79695507187879,0.132,1993,1
"99","GSW","Andris Biedrins\biedran01",18.088,"C","lv",NA,2005,2014,516,21.6,6.3,7,0.9,0.6,1.1,0.594,0.595,0,0.5,0.127657359365641,0.132,2004,11
"100","NJN","Derrick Favors\favorde01",18.349,"F-C","us","Georgia Institute of Technology",2011,2018,508,25.9,11.5,7.1,1.1,0.8,1.3,0.512,0.515,0.2,0.667,0.297678422677165,0.132,2010,3
"101","DEN","Carmelo Anthony\anthoca01",19.032,"F","us","Syracuse University",2004,2018,1004,36.1,24.6,6.6,3.1,1,0.5,0.451,0.474,0.346,0.812,2.22973596030812,0.131,2003,3
"102","HOU","Nikola Mirotic\mirotni01",20.137,"F","me",NA,2015,2018,223,22.9,11,5.3,1.2,0.8,0.7,0.413,0.485,0.355,0.793,-0.388588414689351,0.131,2011,23
"103","CHH","Larry Johnson\johnsla02",22.109,"F","us","University of Nevada Las Vegas",1992,2001,707,36.3,16.2,7.5,3.3,0.7,0.4,0.484,0.505,0.332,0.766,1.33326126284736,0.13,1991,1
"104","DEN","Raef LaFrentz\lafrera01",22.031,"F-C","us","University of Kansas",1999,2008,563,25.8,10.1,6.1,1.1,0.5,1.6,0.466,0.505,0.363,0.711,0.39659976860387,0.13,1998,3
"105","MEM","Mike Conley\conlemi01",19.265,"G","us","Ohio State University",2008,2018,718,32.5,14.3,2.9,5.7,1.5,0.2,0.441,0.468,0.377,0.814,1.14160115511437,0.13,2007,4
"106","NJN","Brook Lopez\lopezbr01",20.091,"C","us","Stanford University",2009,2018,589,31.8,18.3,7,1.6,0.6,1.7,0.503,0.516,0.323,0.793,0.749007063467756,0.13,2008,10
"107","BOS","Jon Barry\barryjo01",22.34,"G","us","Georgia Institute of Technology",1993,2006,821,16.9,5.7,1.8,2.2,0.9,0.1,0.434,0.47,0.392,0.848,0.32859134327926,0.129,1992,21
"108","DAL","Kelvin Cato\catoke01",22.309,"C","us","Iowa State University",1998,2007,541,19.6,5.5,5.3,0.5,0.5,1.3,0.507,0.509,0.077,0.644,0.0627402261012404,0.129,1997,15
"109","BOS","Al Jefferson\jeffeal01",19.176,"C-F","us",NA,2005,2018,889,29.2,15.9,8.5,1.5,0.7,1.2,0.499,0.501,0.125,0.71,1.33944384696778,0.129,2004,15
"110","UTA","Deron Williams\willide01",21.007,"G","us","University of Illinois at Urbana-Champaign",2006,2017,845,34.2,16.3,3.1,8.1,1,0.2,0.445,0.482,0.357,0.822,1.56819945942328,0.129,2005,3
"111","ORL","J.J. Redick\redicjj01",22.009,"G","us","Duke University",2007,2018,716,25.2,12.1,1.9,1.9,0.5,0.1,0.447,0.48,0.413,0.891,0.680998638143147,0.129,2006,11
"112","WAS","JaVale McGee\mcgeeja01",20.164,"C","us","University of Nevada Reno",2009,2018,518,17.2,7.6,4.9,0.3,0.4,1.5,0.554,0.556,0.083,0.578,-0.0794592086683981,0.129,2008,18
"113","BRK","Jarrett Allen\allenja01",19.067,"F-C","us","University of Texas at Austin",2018,2018,19,16.3,5.1,3.6,0.5,0.5,0.9,0.534,0.535,0.5,0.72,-0.796638966637009,0.129,2017,22
"114","SEA","Corey Maggette\maggeco01",19.235,"F","us","Duke University",2000,2013,827,28.2,16,4.9,2.1,0.7,0.2,0.453,0.478,0.324,0.822,1.10141435833164,0.128,1999,13
"115","SAS","Ian Mahinmi\mahinia01",18.24,"C","fr",NA,2008,2018,496,16.8,5.1,4.3,0.5,0.6,0.7,0.537,0.538,0,0.602,-0.13510246575217,0.128,2005,28
"116","UTA","Gordon Hayward\haywago01",20.098,"F-G","us","Butler University",2011,2018,517,31.3,15.6,4.2,3.4,1,0.4,0.444,0.478,0.368,0.82,0.510977574831622,0.128,2010,9
"117","HOU","Terrence Jones\joneste01",20.176,"F","us","University of Kentucky",2013,2017,232,24,10.5,5.7,1,0.6,1.2,0.501,0.539,0.299,0.622,-0.363858078207675,0.128,2012,18
"118","NJN","Kerry Kittles\kittlke01",22.02,"G","us","Villanova University",1997,2005,507,33.4,14.1,3.9,2.6,1.6,0.4,0.439,0.463,0.378,0.78,0.563529539855184,0.127,1996,8
"119","MIN","Wally Szczerbiak\szczewa02",22.122,"F","es","Miami University",2000,2009,651,30.8,14.1,4,2.4,0.6,0.2,0.485,0.505,0.406,0.86,0.826289364972995,0.127,1999,6
"120","UTA","Ronnie Brewer\brewero02",21.105,"G-F","us","University of Arkansas",2007,2014,502,23,7.8,2.8,1.6,1.2,0.2,0.49,0.52,0.254,0.675,0.118383483185012,0.127,2006,14
"121","PHI","Allen Iverson\iversal01",21.025,"G","us","Georgetown University",1997,2010,914,41.1,26.7,3.7,6.2,2.2,0.2,0.425,0.448,0.313,0.78,2.23900983648875,0.126,1996,1
"122","PHI","Andre Iguodala\iguodan01",20.153,"G-F","us","University of Arizona",2005,2018,1001,34.5,12.8,5.2,4.5,1.6,0.5,0.465,0.515,0.335,0.714,1.97315871931073,0.126,2004,9
"123","IND","Danny Granger\grangda01",22.075,"F","us","University of New Mexico",2006,2015,586,31.5,16.8,4.9,1.9,1,0.8,0.434,0.463,0.38,0.848,0.677907346082937,0.126,2005,17
"124","MIN","Ty Lawson\lawsoty01",21.24,"G","us","University of North Carolina",2010,2017,551,29.2,12.7,2.7,6,1.2,0.1,0.46,0.493,0.359,0.77,0.480064654229527,0.126,2009,18
"125","SAS","Kyle Anderson\anderky01",20.284,"F-G","us","University of California Los Angeles",2015,2018,206,15.8,4.2,3.2,1.5,0.7,0.4,0.457,0.474,0.343,0.754,-0.558609478000875,0.126,2014,30
"126","GSW","Anfernee Hardaway\hardaan01",21.353,"G-F","us","University of Memphis",1994,2008,704,33.7,15.2,4.5,5,1.6,0.4,0.458,0.489,0.316,0.774,1.09214048215101,0.125,1993,3
"127","PHO","Robin Lopez\lopezro01",20.091,"C","us","Stanford University",2009,2018,656,23.2,8.9,5.5,0.7,0.3,1.3,0.526,0.527,0.154,0.759,0.399691060664079,0.125,2008,15
"128","CLE","Tristan Thompson\thomptr01",20.107,"F-C","ca","University of Texas at Austin",2012,2018,476,28.5,9.3,8.6,0.8,0.5,0.8,0.516,0.517,0,0.61,0.269856794135279,0.125,2011,4
"129","TOR","Delon Wright\wrighde01",23.065,"G","us","University of Utah",2016,2018,69,14.2,5.3,1.7,1.8,0.7,0.3,0.454,0.505,0.315,0.805,-0.740995709553238,0.125,2015,20
"130","SEA","Sherell Ford\fordsh01",22.311,"F","us","University of Illinois at Chicago",1996,1996,28,5,3.2,0.9,0.2,0.3,0,0.375,0.473,0.16,0.765,-0.809004134877848,0.124,1995,26
"131","MIL","Andrew Bogut\bogutan01",20.217,"C","au","University of Utah",2006,2018,687,28.6,9.8,8.8,2.2,0.6,1.6,0.534,0.536,0.12,0.556,0.72736801904629,0.123,2005,1
"132","CHI","Taj Gibson\gibsota01",24.007,"F","us","University of Southern California",2010,2018,615,25.5,9.5,6.4,1,0.5,1.2,0.497,0.501,0.164,0.701,0.421330105085546,0.123,2009,26
"133","TOR","OG Anunoby\anunoog01",19.345,"F","gb","Indiana University",2018,2018,27,20.3,6.6,2,0.9,0.9,0,0.489,0.567,0.425,0.667,-0.778091214275752,0.123,2017,23
"134","SAC","Brian Grant\grantbr01",22.121,"F","us","Xavier University",1995,2006,756,28.3,10.5,7.4,1.2,0.6,0.7,0.49,0.491,0.214,0.746,0.863384869695509,0.122,1994,8
"135","DAL","Kelly Olynyk\olynyke01",22.075,"C-F","ca","Gonzaga University",2014,2018,307,20.8,9.4,4.8,1.7,0.7,0.5,0.479,0.533,0.372,0.745,-0.320579989364742,0.122,2013,13
"136","MIN","Christian Laettner\laettch01",22.317,"F-C","us","Duke University",1993,2005,868,29.7,12.8,6.7,2.6,1.1,0.8,0.48,0.49,0.261,0.82,1.1848792439573,0.121,1992,3
"137","MIL","Danny Fortson\fortsda01",21.095,"F","us","University of Cincinnati",1998,2007,440,20.1,8.2,7.2,0.7,0.4,0.2,0.472,0.473,0.167,0.785,-0.13201117369196,0.121,1997,10
