"","Tm","Player","Age","Pos","Born","College","From","To","G","MP","PTS","TRB","AST","STL","BLK","FG%","2P%","3P%","FT%","WS","WS/48","Draft.Year","Pick.Number"
"703","CLE","Jared Cunningham\cunnija01",21.043,"G","us","Oregon State University",2013,2016,84,7.2,2.3,0.7,0.5,0.3,0,0.347,0.369,0.306,0.674,-0.815186718998267,0.017,2012,24
"704","UTA","Dante Exum\exumda01",18.353,"G","au",NA,2015,2017,148,20.6,5.4,1.8,2.1,0.4,0.2,0.385,0.473,0.308,0.743,-0.787365090456381,0.017,2014,5
"705","PHI","Sharone Wright\wrighsh01",21.155,"F-C","us","Clemson University",1995,1998,203,22.3,9.7,5,0.6,0.4,1,0.456,0.458,0.083,0.618,-0.778091214275752,0.015,1994,6
"706","PHO","Kendall Marshall\marshke01",20.319,"G","us","University of North Carolina",2013,2016,160,19.3,5,1.6,4.9,0.7,0.1,0.399,0.422,0.37,0.611,-0.79045638251659,0.015,2012,13
"707","ATL","Doug Edwards\edwardo01",22.166,"F","us","Florida State University",1994,1996,85,9.9,2.4,1.8,0.7,0.2,0.3,0.378,0.39,0,0.709,-0.815186718998267,0.013,1993,15
"708","TOR","Kareem Rush\rushka01",21.244,"G","us","University of Missouri",2003,2010,346,17.2,6.4,1.7,1,0.4,0.2,0.4,0.425,0.358,0.703,-0.768817338095124,0.013,2002,20
"709","MEM","Xavier Henry\henryxa01",19.106,"G","be","University of Kansas",2011,2015,185,15.7,5.7,1.9,0.6,0.5,0.1,0.406,0.419,0.325,0.635,-0.796638966637009,0.013,2010,12
"710","CLE","Anthony Bennett\bennean01",20.11,"F","ca","University of Nevada Las Vegas",2014,2017,151,12.6,4.4,3.1,0.5,0.4,0.2,0.392,0.427,0.261,0.67,-0.805912842817638,0.013,2013,1
"711","PHO","Tyler Ennis\ennisty01",19.311,"G","ca","Syracuse University",2015,2018,144,11.9,4,1.1,1.8,0.5,0.1,0.417,0.45,0.331,0.786,-0.805912842817638,0.013,2014,18
"712","DAL","Loren Meyer\meyerlo01",22.185,"C","us","Iowa State University",1996,1999,140,14.6,4.6,3.4,0.6,0.2,0.4,0.432,0.435,0.348,0.696,-0.805912842817638,0.012,1995,24
"713","POR","Victor Claver\clavevi01",20.304,"F","es",NA,2013,2015,80,13.4,3.2,2.2,0.7,0.4,0.2,0.398,0.489,0.293,0.585,-0.815186718998267,0.011,2009,22
"714","LAL","Brandon Ingram\ingrabr01",18.299,"F","us","Duke University",2017,2018,106,30.3,11.1,4.4,2.4,0.7,0.5,0.42,0.453,0.305,0.642,-0.796638966637009,0.011,2016,2
"715","OKC","Terrance Ferguson\fergute01",19.041,"G-F","us",NA,2018,2018,19,7.1,1.3,0.4,0.1,0.2,0.1,0.393,0.692,0.133,0.5,-0.821369303118686,0.011,2017,21
"716","CLE","Luke Jackson\jackslu02",22.236,"F","us","University of Oregon",2005,2008,73,9.9,3.5,1.2,0.8,0.3,0,0.357,0.356,0.36,0.732,-0.815186718998267,0.01,2004,10
"717","ATL","Ed Gray\grayed01",21.277,"G","us","University of California",1998,1999,60,13.5,6.2,1.2,0.8,0.5,0.2,0.339,0.338,0.341,0.814,-0.818278011058476,0.009,1997,22
"718","LAC","Michael Olowokandi\olowomi01",23.088,"C","ng","University of the Pacific",1999,2007,500,26.3,8.3,6.8,0.7,0.5,1.4,0.435,0.435,NA,0.597,-0.744087001613447,0.009,1998,1
"719","MIN","Kris Dunn\dunnkr01",22.103,"G","us","Providence College",2017,2018,102,19.7,5.9,2.7,3.1,1.2,0.4,0.405,0.427,0.32,0.615,-0.809004134877848,0.009,2016,5
"720","DAL","Byron Mullens\mulleby01",20.136,"C","us","Ohio State University",2010,2014,189,18.2,7.4,4.2,0.8,0.4,0.5,0.408,0.438,0.319,0.706,-0.802821550757428,0.008,2009,24
"721","ORL","Johnny Taylor\taylojo01",23.027,"F","us","University of Tennessee at Chattanooga",1998,2000,54,16,4.7,2.2,0.5,0.6,0.4,0.402,0.404,0.394,0.718,-0.818278011058476,0.007,1997,17
"722","LAC","C.J. Wilcox\wilcocj01",23.184,"G","us","University of Washington",2015,2017,66,5.7,2,0.5,0.5,0.2,0.1,0.37,0.397,0.333,0.813,-0.818278011058476,0.007,2014,28
"723","BOS","Acie Earl\earlac01",23.013,"F-C","us","University of Iowa",1994,1997,193,13,5.1,2.7,0.3,0.3,0.7,0.403,0.407,0,0.667,-0.812095426938057,0.005,1993,19
"724","NOK","Cedric Simmons\simmoce01",20.181,"F","us","North Carolina State University",2007,2009,75,9.4,2.2,1.9,0.2,0.1,0.4,0.409,0.409,NA,0.39,-0.818278011058476,0.005,2006,15
"725","UTA","Morris Almond\almonmo01",22.151,"G","us","Rice University",2008,2012,38,9.5,3.1,1.2,0.3,0.3,0.1,0.381,0.404,0.292,0.743,-0.821369303118686,0.005,2007,25
"726","ORL","Mario Hezonja\hezonma01",20.125,"F-G","hr",NA,2016,2018,167,15.9,5.3,2.2,1.1,0.5,0.2,0.4,0.461,0.325,0.853,-0.812095426938057,0.005,2015,5
"727","LAC","Bo Kimble\kimblbo01",24.085,"G","us","Loyola Marymount University",1991,1993,105,12.7,5.5,1.5,0.9,0.4,0.1,0.386,0.403,0.291,0.728,-0.818278011058476,0.004,1990,8
